title,artist,episodeNumber,episodeGuest
The Rooster,Ike & Tina Turner,1,Adam Scott
One Foundation,Bob Marley & The Wailers,1,Adam Scott
Early Morning Sun,Tarsus,1,Adam Scott
I Don't Want to Be Alone,Billy Joel,1,Adam Scott
You Never Miss A Good Thing - Single Version With Strings,Eugene Remus,1,Adam Scott
We Don't Know,The Attack,1,Adam Scott
Bring It Up (Hipsters Avenue),James Brown,1,Adam Scott
Tiger,"Julie Driscoll,Brian Auger",1,Adam Scott
Harmonia's Dream,The War On Drugs,1,Adam Scott
Tall Cool One - 2006 Remaster,Robert Plant,1,Adam Scott
Wall Of Death,R.E.M.,1,Adam Scott
Bittersweet Me - Remastered,R.E.M.,1,Adam Scott
I Still Have Faith In You,ABBA,1,Adam Scott
Follow Me Around,Radiohead,1,Adam Scott
Dig A Pony - 1969 Glyn Johns Mix,The Beatles,1,Adam Scott
I've Got A Feeling - 1969 Glyn Johns Mix,The Beatles,1,Adam Scott
Pa Pa Power,Cat Power,1,Adam Scott
What Has Happened,Tonstartssbandht,1,Adam Scott
Your Song Saved My Life - From Sing 2,U2,1,Adam Scott
Surf City,Jan & Dean,1,Adam Scott
Afrodisiac - Previously Unreleased Bonus Track,The Web,1,Adam Scott
Have Love Will Travel,The Sonics,1,Adam Scott
That Day When She Needed Me,The Contours,1,Adam Scott
General Public,General Public,2,Jake Fogelnest
Big Jack,AC/DC,2,Jake Fogelnest
Mr Blue - 2008 Remaster,Yazoo,2,Jake Fogelnest
Sweet Merilee,Donnie Iris,2,Jake Fogelnest
Gotta Stop (Messin' About),Prince,2,Jake Fogelnest
Power Cut,Any Trouble,2,Jake Fogelnest
X-Ray Eyes,Randy,2,Jake Fogelnest